[2020-07-16 17:33:54,767] [DEBUG] [test_View_topic] 发送请求：http://49.233.108.117:3000/api/v1/topic/5f101f02357c334168d96350
[2020-07-16 17:37:39,286] [DEBUG] [test_View_topic] 发送请求：http://49.233.108.117:3000/api/v1/topic/5f101fe3357c334168d96372
[2020-07-16 17:37:39,443] [DEBUG] [test_editor_topic] 发送请求：http://49.233.108.117:3000/api/v1/topics/update
[2020-07-16 17:37:39,672] [DEBUG] [test_topic_collect] 发送请求：http://49.233.108.117:3000/api/v1/topic_collect/collect
[2020-07-16 17:37:39,809] [DEBUG] [test_topic_decollect] 发送请求：http://49.233.108.117:3000/api/v1/topic_collect/collect
[2020-07-16 17:37:39,880] [DEBUG] [test_topic_decollect] 发送请求：http://49.233.108.117:3000/api/v1/topic_collect/de_collect
[2020-07-16 17:37:40,094] [DEBUG] [test_user_collect] 发送请求：http://49.233.108.117:3000/api/v1/topic_collect/test10
[2020-07-16 17:37:40,291] [DEBUG] [test_create_common] 发送请求：http://49.233.108.117:3000/api/v1/topic/5f101fe4357c334168d96379/replies
[2020-07-16 17:37:40,434] [DEBUG] [test_reply_common] 发送请求：http://49.233.108.117:3000/api/v1/topic/5f101fe4357c334168d9637c/replies
[2020-07-16 17:37:40,726] [DEBUG] [test_thump] 发送请求：http://49.233.108.117:3000/api/v1/reply/5f101fe4357c334168d96381/ups
[2020-07-16 17:37:41,004] [DEBUG] [test_user_detail] 发送请求：http://49.233.108.117:3000/api/v1/user/test10
[2020-07-16 17:37:41,186] [DEBUG] [test_verfily_token] 发送请求：http://49.233.108.117:3000/api/v1/accesstoken
[2020-07-16 17:37:41,258] [DEBUG] [test_hasnot_messsagess] 发送请求：http://49.233.108.117:3000/api/v1/message/count
[2020-07-16 17:37:41,396] [DEBUG] [test_detail_allmessages] 发送请求：http://49.233.108.117:3000/api/v1/messages
[2020-07-16 17:37:41,968] [DEBUG] [test_markPartMessages] 发送请求：http://49.233.108.117:3000/api/v1/message/mark_one/5f101fe4357c334168d96382
